"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3365","full Trello workflow: create board, list, card, update it, then clean up","chromium","2026-08-14","passed","2026-08-14","","workflow.spec.js","",""
"","1921","cascades deletion to its lists and cards","chromium","2026-08-14","passed","2026-08-14","Board deletion","boards.spec.js","",""
"","181","rejects board creation with a missing name","chromium","2026-08-14","passed","2026-08-14","Board validation","boards.spec.js","",""
"","657","archives a list, since lists cannot be hard-deleted","chromium","2026-08-14","passed","2026-08-14","List archiving","lists.spec.js","",""
"","853","moves a card to another list","chromium","2026-08-14","passed","2026-08-14","Card update","cards.spec.js","",""
"","87","rejects board creation with invalid auth","chromium","2026-08-14","passed","2026-08-14","Board validation","boards.spec.js","",""
"","302","rejects card creation with an invalid idList","chromium","2026-08-14","passed","2026-08-14","Card creation","cards.spec.js","",""
"","1255","deletes a card","chromium","2026-08-14","passed","2026-08-14","Card deletion","cards.spec.js","",""
"","1313","creates a board with a valid name","chromium","2026-08-14","passed","2026-08-14","Board creation","boards.spec.js","",""
"","177","rejects list creation with a missing name","chromium","2026-08-14","passed","2026-08-14","List creation","lists.spec.js","",""
"","1255","deletes a board","chromium","2026-08-14","passed","2026-08-14","Board deletion","boards.spec.js","",""
"","861","partial update does not clobber other fields","chromium","2026-08-14","passed","2026-08-14","Card update","cards.spec.js","",""
"","1337","renames a card and updates its description","chromium","2026-08-14","passed","2026-08-14","Card update","cards.spec.js","",""
"","428","creates a card without a name, since name is optional","chromium","2026-08-14","passed","2026-08-14","Card creation","cards.spec.js","",""
"","547","creates a list under a valid board","chromium","2026-08-14","passed","2026-08-14","List creation","lists.spec.js","",""
"","1402","returns 404 when deleting an already-deleted board","chromium","2026-08-14","passed","2026-08-14","Board deletion","boards.spec.js","",""
"","250","rejects card creation with a missing idList","chromium","2026-08-14","passed","2026-08-14","Card creation","cards.spec.js","",""
"","546","returns 404 when updating a non-existent card","chromium","2026-08-14","passed","2026-08-14","Card update","cards.spec.js","",""
"","648","creates a card under a valid list","chromium","2026-08-14","passed","2026-08-14","Card creation","cards.spec.js","",""
"","202","rejects list creation with an invalid board id","chromium","2026-08-14","passed","2026-08-14","List creation","lists.spec.js","",""
"","238","authenticates against the Trello API","chromium","2026-08-14","passed","2026-08-14","","login.spec.js","",""
