"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1021","deletes a board","chromium","2026-08-14","passed","2026-08-14","Board deletion","boards.spec.js","",""
"","2166","full Trello workflow: create board, list, card, update it, then clean up","chromium","2026-08-14","passed","2026-08-14","","workflow.spec.js","",""
"","494","creates a card under a valid list","chromium","2026-08-14","passed","2026-08-14","Card creation","cards.spec.js","",""
"","140","authenticates against the Trello API","chromium","2026-08-14","passed","2026-08-14","","login.spec.js","",""
"","782","deletes a card","chromium","2026-08-14","passed","2026-08-14","Card deletion","cards.spec.js","",""
"","1686","cascades deletion to its lists and cards","chromium","2026-08-14","passed","2026-08-14","Board deletion","boards.spec.js","",""
"","134","rejects card creation with an invalid idList","chromium","2026-08-14","passed","2026-08-14","Card creation","cards.spec.js","",""
"","48","rejects board creation with invalid auth","chromium","2026-08-14","passed","2026-08-14","Board validation","boards.spec.js","",""
"","1065","returns 404 when deleting an already-deleted board","chromium","2026-08-14","passed","2026-08-14","Board deletion","boards.spec.js","",""
"","186","rejects board creation with a missing name","chromium","2026-08-14","passed","2026-08-14","Board validation","boards.spec.js","",""
"","655","moves a card to another list","chromium","2026-08-14","passed","2026-08-14","Card update","cards.spec.js","",""
"","465","returns 404 when updating a non-existent card","chromium","2026-08-14","passed","2026-08-14","Card update","cards.spec.js","",""
"","280","rejects list creation with a missing name","chromium","2026-08-14","passed","2026-08-14","List creation","lists.spec.js","",""
"","132","rejects list creation with an invalid board id","chromium","2026-08-14","passed","2026-08-14","List creation","lists.spec.js","",""
"","342","creates a card without a name, since name is optional","chromium","2026-08-14","passed","2026-08-14","Card creation","cards.spec.js","",""
"","566","partial update does not clobber other fields","chromium","2026-08-14","passed","2026-08-14","Card update","cards.spec.js","",""
"","1168","creates a board with a valid name","chromium","2026-08-14","passed","2026-08-14","Board creation","boards.spec.js","",""
"","749","renames a card and updates its description","chromium","2026-08-14","passed","2026-08-14","Card update","cards.spec.js","",""
"","354","creates a list under a valid board","chromium","2026-08-14","passed","2026-08-14","List creation","lists.spec.js","",""
"","558","archives a list, since lists cannot be hard-deleted","chromium","2026-08-14","passed","2026-08-14","List archiving","lists.spec.js","",""
"","134","rejects card creation with a missing idList","chromium","2026-08-14","passed","2026-08-14","Card creation","cards.spec.js","",""
