"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1260","creates a board with a valid name","chromium","2026-08-12","passed","2026-08-12","Board creation","boards.spec.js","",""
"","777","deletes a card","chromium","2026-08-12","passed","2026-08-12","Card deletion","cards.spec.js","",""
"","832","renames a card and updates its description","chromium","2026-08-12","passed","2026-08-12","Card update","cards.spec.js","",""
"","550","partial update does not clobber other fields","chromium","2026-08-12","passed","2026-08-12","Card update","cards.spec.js","",""
"","348","creates a list under a valid board","chromium","2026-08-12","passed","2026-08-12","List creation","lists.spec.js","",""
"","2308","full Trello workflow: create board, list, card, update it, then clean up","chromium","2026-08-12","passed","2026-08-12","","workflow.spec.js","",""
"","155","rejects board creation with a missing name","chromium","2026-08-12","passed","2026-08-12","Board validation","boards.spec.js","",""
"","1147","returns 404 when deleting an already-deleted board","chromium","2026-08-12","passed","2026-08-12","Board deletion","boards.spec.js","",""
"","143","rejects card creation with a missing idList","chromium","2026-08-12","passed","2026-08-12","Card creation","cards.spec.js","",""
"","159","rejects list creation with an invalid board id","chromium","2026-08-12","passed","2026-08-12","List creation","lists.spec.js","",""
"","150","rejects list creation with a missing name","chromium","2026-08-12","passed","2026-08-12","List creation","lists.spec.js","",""
"","504","archives a list, since lists cannot be hard-deleted","chromium","2026-08-12","passed","2026-08-12","List archiving","lists.spec.js","",""
"","129","rejects card creation with an invalid idList","chromium","2026-08-12","passed","2026-08-12","Card creation","cards.spec.js","",""
"","431","returns 404 when updating a non-existent card","chromium","2026-08-12","passed","2026-08-12","Card update","cards.spec.js","",""
"","73","rejects board creation with invalid auth","chromium","2026-08-12","passed","2026-08-12","Board validation","boards.spec.js","",""
"","1095","deletes a board","chromium","2026-08-12","passed","2026-08-12","Board deletion","boards.spec.js","",""
"","1691","cascades deletion to its lists and cards","chromium","2026-08-12","passed","2026-08-12","Board deletion","boards.spec.js","",""
"","139","authenticates against the Trello API","chromium","2026-08-12","passed","2026-08-12","","login.spec.js","",""
"","564","creates a card under a valid list","chromium","2026-08-12","passed","2026-08-12","Card creation","cards.spec.js","",""
"","648","moves a card to another list","chromium","2026-08-12","passed","2026-08-12","Card update","cards.spec.js","",""
"","361","creates a card without a name, since name is optional","chromium","2026-08-12","passed","2026-08-12","Card creation","cards.spec.js","",""
