"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","910","partial update does not clobber other fields","chromium","2026-08-12","passed","2026-08-12","Card update","cards.spec.js","",""
"","1295","returns 404 when deleting an already-deleted board","chromium","2026-08-12","passed","2026-08-12","Board deletion","boards.spec.js","",""
"","1143","renames a card and updates its description","chromium","2026-08-12","passed","2026-08-12","Card update","cards.spec.js","",""
"","326","rejects list creation with an invalid board id","chromium","2026-08-12","passed","2026-08-12","List creation","lists.spec.js","",""
"","798","archives a list, since lists cannot be hard-deleted","chromium","2026-08-12","passed","2026-08-12","List archiving","lists.spec.js","",""
"","2646","cascades deletion to its lists and cards","chromium","2026-08-12","passed","2026-08-12","Board deletion","boards.spec.js","",""
"","586","creates a list under a valid board","chromium","2026-08-12","passed","2026-08-12","List creation","lists.spec.js","",""
"","854","moves a card to another list","chromium","2026-08-12","passed","2026-08-12","Card update","cards.spec.js","",""
"","273","rejects list creation with a missing name","chromium","2026-08-12","passed","2026-08-12","List creation","lists.spec.js","",""
"","705","creates a card under a valid list","chromium","2026-08-12","passed","2026-08-12","Card creation","cards.spec.js","",""
"","121","rejects board creation with invalid auth","chromium","2026-08-12","passed","2026-08-12","Board validation","boards.spec.js","",""
"","296","authenticates against the Trello API","chromium","2026-08-12","passed","2026-08-12","","login.spec.js","",""
"","293","rejects card creation with a missing idList","chromium","2026-08-12","passed","2026-08-12","Card creation","cards.spec.js","",""
"","1029","deletes a card","chromium","2026-08-12","passed","2026-08-12","Card deletion","cards.spec.js","",""
"","3151","full Trello workflow: create board, list, card, update it, then clean up","chromium","2026-08-12","passed","2026-08-12","","workflow.spec.js","",""
"","493","creates a card without a name, since name is optional","chromium","2026-08-12","passed","2026-08-12","Card creation","cards.spec.js","",""
"","305","rejects board creation with a missing name","chromium","2026-08-12","passed","2026-08-12","Board validation","boards.spec.js","",""
"","773","returns 404 when updating a non-existent card","chromium","2026-08-12","passed","2026-08-12","Card update","cards.spec.js","",""
"","1257","deletes a board","chromium","2026-08-12","passed","2026-08-12","Board deletion","boards.spec.js","",""
"","1448","creates a board with a valid name","chromium","2026-08-12","passed","2026-08-12","Board creation","boards.spec.js","",""
"","306","rejects card creation with an invalid idList","chromium","2026-08-12","passed","2026-08-12","Card creation","cards.spec.js","",""
