"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","289","authenticates against the Trello API","chromium","2026-08-12","passed","2026-08-12","","login.spec.js","",""
"","918","archives a list, since lists cannot be hard-deleted","chromium","2026-08-12","passed","2026-08-12","List archiving","lists.spec.js","",""
"","741","creates a card without a name, since name is optional","chromium","2026-08-12","passed","2026-08-12","Card creation","cards.spec.js","",""
"","282","rejects card creation with a missing idList","chromium","2026-08-12","passed","2026-08-12","Card creation","cards.spec.js","",""
"","634","returns 404 when updating a non-existent card","chromium","2026-08-12","passed","2026-08-12","Card update","cards.spec.js","",""
"","114","rejects board creation with invalid auth","chromium","2026-08-12","passed","2026-08-12","Board validation","boards.spec.js","",""
"","2267","cascades deletion to its lists and cards","chromium","2026-08-12","passed","2026-08-12","Board deletion","boards.spec.js","",""
"","302","rejects board creation with a missing name","chromium","2026-08-12","passed","2026-08-12","Board validation","boards.spec.js","",""
"","892","partial update does not clobber other fields","chromium","2026-08-12","passed","2026-08-12","Card update","cards.spec.js","",""
"","1051","deletes a card","chromium","2026-08-12","passed","2026-08-12","Card deletion","cards.spec.js","",""
"","292","rejects card creation with an invalid idList","chromium","2026-08-12","passed","2026-08-12","Card creation","cards.spec.js","",""
"","1101","renames a card and updates its description","chromium","2026-08-12","passed","2026-08-12","Card update","cards.spec.js","",""
"","265","rejects list creation with an invalid board id","chromium","2026-08-12","passed","2026-08-12","List creation","lists.spec.js","",""
"","261","rejects list creation with a missing name","chromium","2026-08-12","passed","2026-08-12","List creation","lists.spec.js","",""
"","2981","full Trello workflow: create board, list, card, update it, then clean up","chromium","2026-08-12","passed","2026-08-12","","workflow.spec.js","",""
"","1402","returns 404 when deleting an already-deleted board","chromium","2026-08-12","passed","2026-08-12","Board deletion","boards.spec.js","",""
"","1403","deletes a board","chromium","2026-08-12","passed","2026-08-12","Board deletion","boards.spec.js","",""
"","1522","creates a board with a valid name","chromium","2026-08-12","passed","2026-08-12","Board creation","boards.spec.js","",""
"","1013","moves a card to another list","chromium","2026-08-12","passed","2026-08-12","Card update","cards.spec.js","",""
"","534","creates a list under a valid board","chromium","2026-08-12","passed","2026-08-12","List creation","lists.spec.js","",""
"","802","creates a card under a valid list","chromium","2026-08-12","passed","2026-08-12","Card creation","cards.spec.js","",""
