"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","280","rejects list creation with an invalid board id","chromium","2026-08-14","passed","2026-08-14","List creation","lists.spec.js","",""
"","117","rejects board creation with invalid auth","chromium","2026-08-14","passed","2026-08-14","Board validation","boards.spec.js","",""
"","1116","renames a card and updates its description","chromium","2026-08-14","passed","2026-08-14","Card update","cards.spec.js","",""
"","489","creates a card without a name, since name is optional","chromium","2026-08-14","passed","2026-08-14","Card creation","cards.spec.js","",""
"","990","moves a card to another list","chromium","2026-08-14","passed","2026-08-14","Card update","cards.spec.js","",""
"","659","returns 404 when updating a non-existent card","chromium","2026-08-14","passed","2026-08-14","Card update","cards.spec.js","",""
"","935","creates a card under a valid list","chromium","2026-08-14","passed","2026-08-14","Card creation","cards.spec.js","",""
"","307","authenticates against the Trello API","chromium","2026-08-14","passed","2026-08-14","","login.spec.js","",""
"","469","rejects card creation with a missing idList","chromium","2026-08-14","passed","2026-08-14","Card creation","cards.spec.js","",""
"","865","archives a list, since lists cannot be hard-deleted","chromium","2026-08-14","passed","2026-08-14","List archiving","lists.spec.js","",""
"","296","rejects card creation with an invalid idList","chromium","2026-08-14","passed","2026-08-14","Card creation","cards.spec.js","",""
"","1363","deletes a board","chromium","2026-08-14","passed","2026-08-14","Board deletion","boards.spec.js","",""
"","1318","creates a board with a valid name","chromium","2026-08-14","passed","2026-08-14","Board creation","boards.spec.js","",""
"","1056","deletes a card","chromium","2026-08-14","passed","2026-08-14","Card deletion","cards.spec.js","",""
"","697","creates a list under a valid board","chromium","2026-08-14","passed","2026-08-14","List creation","lists.spec.js","",""
"","2396","cascades deletion to its lists and cards","chromium","2026-08-14","passed","2026-08-14","Board deletion","boards.spec.js","",""
"","801","partial update does not clobber other fields","chromium","2026-08-14","passed","2026-08-14","Card update","cards.spec.js","",""
"","1510","returns 404 when deleting an already-deleted board","chromium","2026-08-14","passed","2026-08-14","Board deletion","boards.spec.js","",""
"","311","rejects list creation with a missing name","chromium","2026-08-14","passed","2026-08-14","List creation","lists.spec.js","",""
"","301","rejects board creation with a missing name","chromium","2026-08-14","passed","2026-08-14","Board validation","boards.spec.js","",""
"","3113","full Trello workflow: create board, list, card, update it, then clean up","chromium","2026-08-14","passed","2026-08-14","","workflow.spec.js","",""
