"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","rejects list creation with a missing name","chromium","2026-08-18","passed","2026-08-18","List creation","lists.spec.js","",""
"","1535","deletes a board","chromium","2026-08-18","passed","2026-08-18","Board deletion","boards.spec.js","",""
"","741","moves a card to another list","chromium","2026-08-18","passed","2026-08-18","Card update","cards.spec.js","",""
"","2848","full Trello workflow: create board, list, card, update it, then clean up","chromium","2026-08-18","passed","2026-08-18","Full Trello workflow","workflow.spec.js","",""
"","484","creates a card without a name, since name is optional","chromium","2026-08-18","passed","2026-08-18","Card creation","cards.spec.js","",""
"","1381","creates a board with a valid name","chromium","2026-08-18","passed","2026-08-18","Board creation","boards.spec.js","",""
"","664","partial update does not clobber other fields","chromium","2026-08-18","passed","2026-08-18","Card update","cards.spec.js","",""
"","1055","renames a card and updates its description","chromium","2026-08-18","passed","2026-08-18","Card update","cards.spec.js","",""
"","497","creates a card under a valid list","chromium","2026-08-18","passed","2026-08-18","Card creation","cards.spec.js","",""
"","260","rejects list creation with an invalid board id","chromium","2026-08-18","passed","2026-08-18","List creation","lists.spec.js","",""
"","418","creates a list under a valid board","chromium","2026-08-18","passed","2026-08-18","List creation","lists.spec.js","",""
"","227","rejects board creation with a missing name","chromium","2026-08-18","passed","2026-08-18","Board validation","boards.spec.js","",""
"","586","returns 404 when updating a non-existent card","chromium","2026-08-18","passed","2026-08-18","Card update","cards.spec.js","",""
"","1094","deletes a card","chromium","2026-08-18","passed","2026-08-18","Card deletion","cards.spec.js","",""
"","216","rejects card creation with a missing idList","chromium","2026-08-18","passed","2026-08-18","Card creation","cards.spec.js","",""
"","306","authenticates against the Trello API","chromium","2026-08-18","passed","2026-08-18","","login.spec.js","",""
"","851","archives a list, since lists cannot be hard-deleted","chromium","2026-08-18","passed","2026-08-18","List archiving","lists.spec.js","",""
"","1077","returns 404 when deleting an already-deleted board","chromium","2026-08-18","passed","2026-08-18","Board deletion","boards.spec.js","",""
"","66","rejects board creation with invalid auth","chromium","2026-08-18","passed","2026-08-18","Board validation","boards.spec.js","",""
"","2261","cascades deletion to its lists and cards","chromium","2026-08-18","passed","2026-08-18","Board deletion","boards.spec.js","",""
"","249","rejects card creation with an invalid idList","chromium","2026-08-18","passed","2026-08-18","Card creation","cards.spec.js","",""
